iter	Passed	Remaining
0	185	185597
1	305	152318
2	450	149667
3	597	148782
4	717	142697
5	846	140251
6	959	136094
7	1155	143284
8	1298	142939
9	1440	142578
10	1543	138749
11	1625	133853
12	1715	130282
13	1827	128699
14	1968	129246
15	2086	128345
16	2203	127388
17	2340	127695
18	2457	126877
19	2569	125895
20	2670	124517
21	2780	123597
22	2905	123429
23	3043	123756
24	3143	122583
25	3240	121392
26	3365	121269
27	3503	121607
28	3623	121327
29	3732	120695
30	3831	119757
31	3928	118841
32	4038	118337
33	4156	118086
34	4276	117911
35	4390	117580
36	4508	117349
37	4614	116815
38	4723	116384
39	4857	116588
40	4960	116033
41	5063	115495
42	5158	114807
43	5265	114403
44	5375	114072
45	5484	113739
46	5581	113179
47	5676	112590
48	5776	112104
49	5863	111410
50	5938	110511
51	6020	109762
52	6110	109189
53	6214	108865
54	6301	108278
55	6423	108283
56	6533	108096
57	6627	107632
58	6734	107411
59	6821	106871
60	6910	106379
61	6982	105642
62	7059	104998
63	7157	104683
64	7260	104446
65	7432	105175
66	7530	104864
67	7624	104506
68	7722	104197
69	7826	103978
70	7931	103777
71	8030	103505
72	8136	103327
73	8245	103181
74	8370	103235
75	8469	102975
76	8562	102635
77	8656	102328
78	8755	102075
79	8863	101925
80	8983	101929
81	9106	101948
82	9206	101718
83	9319	101631
84	9439	101616
85	9542	101415
86	9644	101215
87	9751	101061
88	9854	100870
89	9963	100744
90	10087	100761
91	10198	100657
92	10363	101067
93	10511	101309
94	10616	101140
95	10712	100873
96	10786	100412
97	10887	100210
98	10972	99857
99	11072	99648
100	11170	99428
101	11271	99229
102	11367	98997
103	11453	98676
104	11534	98321
105	11621	98019
106	11713	97760
107	11838	97773
108	11971	97862
109	12077	97718
110	12161	97397
111	12250	97132
112	12340	96865
113	12421	96537
114	12521	96364
115	12611	96109
116	12747	96207
117	12860	96125
118	13132	97221
119	13814	101303
120	14162	102880
121	14303	102940
122	14434	102919
123	14577	102980
124	14702	102918
125	14802	102674
126	14920	102560
127	15050	102530
128	15148	102283
129	15257	102106
130	15384	102054
131	15507	101973
132	15605	101729
133	15711	101535
134	15820	101368
135	15932	101219
136	16048	101096
137	16160	100943
138	16271	100791
139	16379	100615
