feature,mean_abs_shap
Unnamed__0,5.141247
F3912,1.4028542
F3898,0.19002768
F1165,0.085836686
F1921,0.0803316
freq_amount_ratio,0.06506802
F3534,0.056469455
F950,0.04948905
F159,0.047548216
F3805,0.044852745
F162,0.040854383
F527_x_F670,0.025315834
F1647,0.024902249
F3799,0.024092885
F2486,0.015361911
F670_log,0.014655495
F1863,0.01339147
F2137,0.012598448
F670,0.011753008
F2999,0.010161198
F2582_log,0.009522672
F2344,0.0072841686
F997,0.0072457367
F362,0.005638493
hint_min,0.0055535967
F318,0.005043462
F3804,0.0046702474
F3645,0.0046266997
F2785,0.0044665304
F3043_pct_rank,0.0044519403
F1960,0.0042343982
F1644,0.0037816
F3831,0.0036322952
F578,0.003032728
F2956_pct_rank,0.0028976905
F322,0.0027869227
F3894,0.0027078236
F2342,0.0025757912
F1596,0.0024036602
F573,0.0023268536
F3829,0.002258594
hint_range,0.0020721534
F3043,0.0019430257
F2582_pct_rank,0.0019334942
hint_std,0.0017238134
F2340,0.0012804675
hint_sum,0.0012226823
F2737,0.0011757353
F2678_log,0.001160396
F3894_pct_rank,0.0010065329
F3825,0.0009299054
F157,0.0008984584
F2122,0.00055386656
F3487,0.00039885784
F270,0.0002990841
hint_skew,0.00022610866
F269,0.0001999804
F3537,0.00016618447
F527,0.00016477761
F60,9.330354e-05
hint_mean,0.0
F2447,0.0
F531_log,0.0
F2082_x_F2678,0.0
F109,0.0
F115_x_F321,0.0
F3830,0.0
F319,0.0
hint_max,0.0
F3485,0.0
transfer_ratio,0.0
F3820,0.0
F2082_log,0.0
F460,0.0
high_value_ratio,0.0
debit_credit_ratio,0.0
F2031,0.0
F3891,0.0
F3889,0.0
F3887,0.0
F3836,0.0
F1692_log,0.0
isolation_anomaly_score,0.0
F2122_log,0.0
F670_pct_rank,0.0
F13,0.0
F3887_pct_rank,0.0
F3836_pct_rank,0.0
F112,0.0
F421,0.0
F2737_pct_rank,0.0
F2678_pct_rank,0.0
F2122_pct_rank,0.0
F2082_pct_rank,0.0
F1692_pct_rank,0.0
F531_pct_rank,0.0
F2956,0.0
F527_pct_rank,0.0
F321_pct_rank,0.0
F115_pct_rank,0.0
F3887_log,0.0
F3836_log,0.0
F3043_log,0.0
F2956_log,0.0
F2737_log,0.0
F14,0.0
F15,0.0
F2339,0.0
F2582,0.0
F3819,0.0
F56,0.0
F61,0.0
F19,0.0
F18,0.0
F320,0.0
F321,0.0
F2675,0.0
F23,0.0
F1926,0.0
F423,0.0
F2676,0.0
F54,0.0
F2185,0.0
F3492,0.0
F22,0.0
F463,0.0
F3836_x_F3887,0.0
F2439,0.0
F3816,0.0
F62,0.0
F328,0.0
F425,0.0
F115,0.0
F323,0.0
F2678,0.0
F3832,0.0
F2639,0.0
F2082,0.0
F1692,0.0
F17,0.0
F531,0.0
F2637,0.0
F16,0.0
F160,0.0
F3823,0.0
F3815,0.0
F110,0.0
F24,0.0
F111,0.0
F222,0.0
F422,0.0
F3491,0.0
F3824,0.0
F20,0.0
F476,0.0
F59,0.0
F2036,0.0
is_anomaly,0.0
