account_id,actual_label,predicted_label,risk_score,risk_category,top_shap_feature_1,top_shap_value_1,top_shap_feature_2,top_shap_value_2,top_shap_feature_3,top_shap_value_3,recommended_action,alert_timestamp,isolation_anomaly_score,is_anomaly,final_suspicious
0,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4171,F3898,-0.175,NO ACTION NEEDED,2026-06-05 22:50:52,0.4263650416891219,0,0
1,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.3599,F3898,-0.2619,NO ACTION NEEDED,2026-06-05 22:50:52,0.3551624448224094,0,0
2,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4167,F3898,-0.2372,NO ACTION NEEDED,2026-06-05 22:50:52,0.3542311330627524,0,0
3,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.3289,F3898,-0.3158,NO ACTION NEEDED,2026-06-05 22:50:52,0.3924694516183072,0,0
4,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4168,F3898,-0.2762,NO ACTION NEEDED,2026-06-05 22:50:52,0.376700142984311,0,0
5,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4171,F3898,-0.1946,NO ACTION NEEDED,2026-06-05 22:50:52,0.3395014083758456,0,0
6,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4141,F950,-0.2112,NO ACTION NEEDED,2026-06-05 22:50:52,0.3797968364165209,0,0
7,0,0,0.14,SAFE,Unnamed__0,-5.1403,F3912,-1.2538,F1165,0.2201,NO ACTION NEEDED,2026-06-05 22:50:52,0.494834445382698,0,0
8,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4159,F3898,-0.3114,NO ACTION NEEDED,2026-06-05 22:50:52,0.3466108958698102,0,0
9,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4155,F3534,-0.1535,NO ACTION NEEDED,2026-06-05 22:50:52,0.3626781402393749,0,0
10,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4163,F1921,-0.1469,NO ACTION NEEDED,2026-06-05 22:50:52,0.4030626281697007,0,0
11,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4161,F3898,-0.3159,NO ACTION NEEDED,2026-06-05 22:50:52,0.345791177422828,0,0
12,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4167,F3898,-0.2618,NO ACTION NEEDED,2026-06-05 22:50:52,0.434158204960407,0,0
13,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4169,F3898,-0.3261,NO ACTION NEEDED,2026-06-05 22:50:52,0.3340839283152426,0,0
14,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.4167,F950,-0.2119,NO ACTION NEEDED,2026-06-05 22:50:52,0.3365760318342526,0,0
